SURVEY:  PS1MD
SNID:  PS0909006
IAUC:    UNKNOWN
RA:        333.9502660  deg
DECL:       1.1848310  deg
MWEBV:    0.0368 +- 0.003  MW E(B-V)
REDSHIFT_FINAL:  0.2840 +- 0.0010  (CMB)
SEARCH_PEAKMJD: 55083.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PS0909006.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0009

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 375
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55029.6 g NULL  -9.825 11.991 nan -1.325
OBS: 55074.4 g NULL  211.338 33.018 -10.812 0.170
OBS: 55086.4 g NULL  112.522 10.452 -10.128 0.101
OBS: 55089.4 g NULL  102.969 10.576 -10.032 0.112
OBS: 55092.4 g NULL  66.840 13.142 -9.563 0.213
OBS: 55095.4 g NULL  49.572 12.208 -9.238 0.267
OBS: 55098.3 g NULL  42.269 12.026 -9.065 0.309
OBS: 55389.5 g NULL  -6.604 11.146 nan -1.832
OBS: 55398.5 g NULL  -49.494 25.453 nan -0.558
OBS: 55410.5 g NULL  -24.835 15.910 nan -0.696
OBS: 55413.5 g NULL  14.567 8.001 -7.908 0.596
OBS: 55416.5 g NULL  -3.605 12.866 nan -3.875
OBS: 55422.5 g NULL  0.807 10.656 -4.767 14.341
OBS: 55425.4 g NULL  -11.056 7.905 nan -0.776
OBS: 55428.5 g NULL  -1.002 10.699 nan -11.594
OBS: 55437.5 g NULL  63.024 26.879 -9.499 0.463
OBS: 55440.5 g NULL  -3.958 8.907 nan -2.444
OBS: 55443.5 g NULL  -1.813 7.163 nan -4.289
OBS: 55446.5 g NULL  -7.170 9.369 nan -1.419
OBS: 55449.4 g NULL  13.852 11.258 -7.854 0.882
OBS: 55452.4 g NULL  5.855 8.114 -6.919 1.505
OBS: 55455.4 g NULL  -16.635 10.348 nan -0.675
OBS: 55458.3 g NULL  43.752 30.920 -9.103 0.767
OBS: 55467.3 g NULL  5.583 9.913 -6.867 1.928
OBS: 55473.3 g NULL  11.914 10.639 -7.690 0.970
OBS: 55479.2 g NULL  3.644 8.903 -6.404 2.653
OBS: 55482.2 g NULL  2.177 10.443 -5.844 5.209
OBS: 55500.2 g NULL  3.328 7.961 -6.305 2.598
OBS: 55503.3 g NULL  -3.892 8.532 nan -2.381
OBS: 55512.3 g NULL  2.583 22.929 -6.030 9.640
OBS: 55530.2 g NULL  10.228 14.885 -7.524 1.580
OBS: 55536.3 g NULL  1.629 12.467 -5.530 8.309
OBS: 55743.6 g NULL  8.642 8.275 -7.341 1.040
OBS: 55764.6 g NULL  1.174 12.862 -5.174 11.898
OBS: 55767.6 g NULL  -4.736 9.149 nan -2.098
OBS: 55770.5 g NULL  -6.737 6.910 nan -1.114
OBS: 55773.6 g NULL  4.727 8.536 -6.686 1.961
OBS: 55776.6 g NULL  -10.413 7.593 nan -0.792
OBS: 55779.6 g NULL  3.423 8.031 -6.336 2.547
OBS: 55782.4 g NULL  2.850 19.345 -6.137 7.369
OBS: 55791.6 g NULL  -42.922 37.862 nan -0.958
OBS: 55794.5 g NULL  13.110 11.089 -7.794 0.918
OBS: 55797.5 g NULL  -3.594 6.779 nan -2.048
OBS: 55800.3 g NULL  -5.538 22.062 nan -4.325
OBS: 55803.5 g NULL  9.241 8.331 -7.414 0.979
OBS: 55806.4 g NULL  -16.321 12.700 nan -0.845
OBS: 55809.3 g NULL  25.142 10.238 -8.501 0.442
OBS: 55812.4 g NULL  5.581 15.167 -6.867 2.951
OBS: 55821.3 g NULL  17.872 10.153 -8.130 0.617
OBS: 55824.3 g NULL  -7.710 9.633 nan -1.357
OBS: 55828.3 g NULL  0.888 6.441 -4.871 7.874
OBS: 55830.3 g NULL  9.962 10.366 -7.496 1.130
OBS: 55833.3 g NULL  1.544 12.345 -5.472 8.678
OBS: 55836.2 g NULL  -0.426 8.664 nan -22.081
OBS: 55839.4 g NULL  52.929 33.109 -9.309 0.679
OBS: 55852.3 g NULL  10.585 8.304 -7.562 0.852
OBS: 55855.2 g NULL  -9.768 6.061 nan -0.674
OBS: 55858.2 g NULL  -6.568 6.242 nan -1.032
OBS: 55860.2 g NULL  5.229 7.738 -6.796 1.607
OBS: 55863.3 g NULL  -0.705 7.560 nan -11.636
OBS: 56147.5 g NULL  2.682 10.160 -6.071 4.114
OBS: 56150.5 g NULL  9.036 9.396 -7.390 1.129
OBS: 56155.5 g NULL  9.682 7.494 -7.465 0.840
OBS: 56161.3 g NULL  10.323 14.661 -7.534 1.542
OBS: 56164.4 g NULL  15.900 18.880 -8.003 1.289
OBS: 56176.4 g NULL  -2.126 11.708 nan -5.978
OBS: 56206.2 g NULL  7.832 9.149 -7.235 1.268
OBS: 56209.2 g NULL  9.754 8.155 -7.473 0.908
OBS: 56214.2 g NULL  2.048 30.123 -5.778 15.970
OBS: 56217.3 g NULL  9.047 10.674 -7.391 1.281
OBS: 56220.3 g NULL  -17.120 11.044 nan -0.700
OBS: 56475.5 g NULL  -3.323 7.271 nan -2.375
OBS: 56480.5 g NULL  -5.768 12.167 nan -2.290
OBS: 56486.6 g NULL  1.709 9.211 -5.582 5.852
OBS: 56489.5 g NULL  1.362 8.245 -5.335 6.572
OBS: 56501.4 g NULL  -2.480 9.614 nan -4.209
OBS: 56507.6 g NULL  -2.345 8.777 nan -4.063
OBS: 56512.5 g NULL  0.153 8.273 -2.965 58.518
OBS: 56518.5 g NULL  -0.648 8.929 nan -14.959
OBS: 56531.5 g NULL  9.782 13.392 -7.476 1.486
OBS: 56534.5 g NULL  -2.105 7.769 nan -4.008
OBS: 56539.4 g NULL  -6.495 9.639 nan -1.611
OBS: 56545.3 g NULL  0.486 11.171 -4.217 24.940
OBS: 56548.3 g NULL  -0.058 20.817 nan -391.036
OBS: 56563.3 g NULL  7.597 13.103 -7.202 1.873
OBS: 56571.2 g NULL  5.260 8.105 -6.803 1.673
OBS: 56574.2 g NULL  -6.470 15.104 nan -2.535
OBS: 56590.3 g NULL  -1.586 7.045 nan -4.823
OBS: 56593.3 g NULL  -15.804 7.758 nan -0.533
OBS: 56596.2 g NULL  -3.499 13.375 nan -4.150
OBS: 56601.2 g NULL  56.057 21.735 -9.372 0.421
OBS: 56628.3 g NULL  32.581 74.389 -8.782 2.479
OBS: 55014.6 r NULL  4.414 19.316 -6.612 4.752
OBS: 55029.6 r NULL  -15.795 11.221 nan -0.771
OBS: 55074.5 r NULL  252.058 33.085 -11.004 0.143
OBS: 55083.5 r NULL  217.291 16.533 -10.843 0.083
OBS: 55086.4 r NULL  209.320 10.008 -10.802 0.052
OBS: 55089.4 r NULL  158.190 11.128 -10.498 0.076
OBS: 55092.4 r NULL  159.263 19.298 -10.505 0.132
