#Created by Dan	Scolnic	based on average supercal corrections from http://arxiv.org/abs/1508.05361 with	data from http://arxiv.org/abs/1310.3824
#zHD has coherent flow corrections from Turnbull, Hudson et al.  z is the heliocentric redshift.

#To use this for cosmology, one should make a cut of abs(x1)<3, abs(c)<0.3, fitprob>0.01, pkmjderr<2.0, x1err<1.0, and some reasonable 3-4 sigma cut on Hubble Residual (mures) outliers.

NVAR: 40 
VARNAMES: CID CIDint IDSURVEY TYPE FIELD zHD zHDERR z zERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX MU MUERR MURES MUPULL sbar cbar ERRCODE 

 
SN: 744 744 1 120 82N 0.12694 0.00001 0.12825 0.00001 10.4700 7.50000e-02 43.4159 37.4260 22.5996 53612.910 0.767 1.3868 0.3154 6.55807e-02 3.25363e-02 19.5359 4.75520e-02 2.75195e-04 1.23205e-05 7.56860e-04 9.11065e-08 -3.25201e-07 31 20.6716 0.9386 -30.801575 0.317392 8.8944   38.8907  0.0760  0.001  0.014  1.397  0.064 0 
SN: 1112 1112 1 120 82S 0.25609 0.00001 0.25761 0.00001 11.3510 5.90000e-02 13.3437 11.8590 8.4720 53630.145 0.698 -6.05068e-01 0.7173 -2.55037e-02 5.27000e-02 21.2627 6.06848e-02 5.60920e-05 3.22441e-06 6.27689e-03 -1.37881e-06 -8.33007e-08 43 26.9626 0.9734 -20.982391 -0.375273 9.5730   40.6210  0.1808  0.051  0.282 -0.714 -0.017 0 
SN: 1241 1241 1 120 82S 0.08848 0.00001 0.08979 0.00001 10.6960 0.1030 63.8605 54.2820 40.1992 53635.367 0.078 -5.41799e-01 7.89785e-02 5.03745e-02 2.20446e-02 18.8484 2.80932e-02 5.18390e-04 1.35883e-05 6.03283e-05 -2.82026e-07 -2.40385e-07 56 52.3970 0.6120 -22.327515 -0.776637 11.0471   37.9803  0.0509 -0.080 -1.568 -0.499  0.017 0 
SN: 1371 1371 1 120 82S 0.11797 0.00001 0.11934 0.00001 10.8930 6.70000e-02 63.8619 38.7701 38.7632 53633.305 0.107 0.7897 9.70868e-02 -9.91852e-02 2.04228e-02 18.7834 2.61109e-02 5.50375e-04 1.33964e-05 9.63876e-05 -3.44157e-07 -2.09937e-07 55 72.2732 5.90690e-02 -10.626251 0.429294 8.9408   38.5653  0.0493 -0.155 -3.152  0.903 -0.157 0 
SN: 1580 1580 1 120 82S 0.18322 0.00001 0.18400 0.00001 10.7500 4.00000e-02 27.1215 23.5785 16.6583 53634.039 0.208 0.8982 0.2361 -4.12342e-02 2.69929e-02 20.0082 3.48746e-02 1.78130e-04 5.81452e-06 6.62869e-04 -6.95376e-07 -1.09526e-07 67 30.1337 1 45.322960 -0.644123 9.1388   39.6257  0.0763 -0.123 -1.609  1.120 -0.074 0 
SN: 1794 1794 1 120 82N 0.14070 0.00001 0.14191 0.00001 9.2700 7.60000e-02 41.7464 30.9997 22.5872 53624.680 0.547 1.1704 0.3186 2.99983e-02 3.61079e-03 19.8158 2.03860e-02 2.12663e-04 4.03073e-06 8.78303e-06 -2.69702e-08 -2.42883e-09 44 34.7229 0.8659 -42.163269 -0.445407 10.5121   39.2506  0.0499  0.122  2.449  0.504  0.031 0 
SN: 2031 2031 1 120 82S 0.15186 0.00001 0.15300 0.00001 9.2040 54.1240 57.1365 45.2261 27.1193 53636.891 0.140 0.4850 0.1436 -1.28142e-01 2.20354e-02 19.4134 2.68895e-02 3.08057e-04 7.72465e-06 5.92332e-05 -2.86165e-07 -1.25279e-07 53 62.9647 0.1643 -47.956879 -1.171487 8.5985   39.2425  0.0575 -0.064 -1.119  0.564 -0.151 0 
SN: 2102 2102 1 120 82S 0.09401 0.00001 0.09510 0.00001 11.0180 53.9370 98.6983 72.3790 41.7482 53620.195 0.489 1.2648 0.1917 -1.09998e-01 4.80348e-03 18.3748 1.93186e-02 8.01861e-04 1.43953e-05 -3.75837e-05 6.21787e-07 -1.84442e-08 39 36.9166 0.5653 -47.779083 0.191053 9.0531   38.2567  0.0310  0.064  2.062  1.000 -0.107 0 
